"大阪府","28","0.09","324","","96","0.48","331","1.66","1373","6.87","238","1.19","66","0.33","2","0.01","102","0.51","1","0.01","17","0.09","25","0.13","-","-","33","0.63","-","-","1","0.06","1","0.06","-","-","1","0.06"
"兵庫県","23","0.12","206","","45","0.35","85","0.66","950","7.36","157","1.22","55","0.43","7","0.05","66","0.51","1","0.01","7","0.05","11","0.09","-","-","18","0.51","-","-","-","-","4","0.36","-","-","-","-"
"奈良県","10","0.19","31","","12","0.35","21","0.62","136","4.00","20","0.59","17","0.50","-","-","7","0.21","-","-","-","-","2","0.06","-","-","5","0.56","-","-","-","-","1","0.17","-","-","-","-"
"和歌山県","7","0.14","51","","18","0.58","22","0.71","99","3.19","11","0.35","20","0.65","-","-","12","0.39","-","-","1","0.03","1","0.03","-","-","3","0.75","-","-","2","0.18","3","0.27","-","-","1","0.09"
"鳥取県","2","0.07","51","","14","0.74","32","1.68","82","4.32","14","0.74","27","1.42","-","-","9","0.47","1","0.05","-","-","-","-","-","-","1","0.33","1","0.20","-","-","-","-","-","-","-","-"
"島根県","3","0.08","29","","19","0.83","14","0.61","208","9.04","26","1.13","31","1.35","-","-","10","0.43","-","-","3","0.13","3","0.13","-","-","1","0.33","-","-","-","-","4","0.50","-","-","-","-"
"岡山県","31","0.37","70","","14","0.26","42","0.78","436","8.07","39","0.72","18","0.33","-","-","19","0.35","-","-","2","0.04","2","0.04","2","0.17","2","0.17","-","-","-","-","1","0.20","-","-","-","-"
"広島県","4","0.04","92","","73","1.03","83","1.17","541","7.62","99","1.39","11","0.15","-","-","48","0.68","1","0.01","11","0.15","19","0.27","-","-","21","1.11","-","-","2","0.10","2","0.10","-","-","-","-"
"山口県","22","0.32","55","","33","0.70","123","2.62","404","8.60","66","1.40","32","0.68","2","0.04","22","0.47","-","-","10","0.21","3","0.06","-","-","-","-","-","-","-","-","2","0.22","-","-","-","-"
"徳島県","2","0.05","142","","2","0.09","9","0.39","112","4.87","19","0.83","27","1.17","1","0.04","20","0.87","-","-","1","0.04","3","0.13","-","-","1","0.25","-","-","-","-","-","-","-","-","-","-"
"香川県","-","-","73","","18","0.60","33","1.10","176","5.87","36","1.20","6","0.20","1","0.03","18","0.60","-","-","4","0.13","2","0.07","-","-","1","0.33","-","-","-","-","1","0.20","-","-","1","0.20"
"愛媛県","26","0.43","64","","30","0.81","54","1.46","393","10.62","57","1.54","17","0.46","-","-","28","0.76","-","-","3","0.08","2","0.05","-","-","17","2.13","-","-","-","-","1","0.17","-","-","-","-"
"高知県","8","0.17","44","","18","0.60","8","0.27","72","2.40","13","0.43","19","0.63","-","-","6","0.20","-","-","2","0.07","40","1.33","-","-","-","-","-","-","2","0.25","6","0.75","-","-","-","-"
"福岡県","7","0.04","97","","38","0.32","269","2.24","1164","9.70","160","1.33","130","1.08","2","0.02","80","0.67","3","0.03","8","0.07","91","0.76","1","0.04","13","0.50","-","-","1","0.08","-","-","-","-","-","-"
"佐賀県","32","0.82","35","","20","0.87","47","2.04","212","9.22","37","1.61","61","2.65","-","-","19","0.83","-","-","2","0.09","9","0.39","-","-","-","-","-","-","-","-","-","-","-","-","1","0.17"
"長崎県","6","0.09","57","","18","0.41","33","0.75","318","7.23","54","1.23","61","1.39","-","-","23","0.52","2","0.05","-","-","23","0.52","-","-","13","1.63","-","-","-","-","-","-","-","-","-","-"
"熊本県","13","0.16","74","","45","0.90","77","1.54","583","11.66","59","1.18","57","1.14","3","0.06","29","0.58","-","-","3","0.06","3","0.06","-","-","20","2.22","-","-","-","-","-","-","-","-","-","-"
"大分県","13","0.22","34","","30","0.83","75","2.08","382","10.61","35","0.97","23","0.64","-","-","26","0.72","-","-","5","0.14","4","0.11","-","-","1","0.20","-","-","-","-","7","0.64","-","-","-","-"
"宮崎県","3","0.05","19","","61","1.69","57","1.58","630","17.50","37","1.03","168","4.67","-","-","24","0.67","-","-","4","0.11","4","0.11","-","-","21","3.50","-","-","-","-","1","0.14","-","-","-","-"
"鹿児島県","65","0.70","23","","73","1.33","73","1.33","325","5.91","68","1.24","202","3.67","3","0.05","21","0.38","-","-","6","0.11","6","0.11","-","-","6","0.86","1","0.08","-","-","-","-","-","-","1","0.08"
"沖縄県","55","0.95","5","","11","0.32","22","0.65","48","1.41","17","0.50","19","0.56","-","-","7","0.21","-","-","1","0.03","9","0.26","-","-","14","1.40","2","0.29","3","0.43","1","0.14","-","-","-","-"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
